Country,Area Code,Region,Level,Units,As Of,1Y Chg,5Y Ago,10Y Ago,25Y Ago,Life Expectancy,Health Expenditure,Adult Literacy Rate,,,,,,,
Slovenia,SVN,Europe,2060,1000,2013,0.16%,2040,1997,1996,80.12,"2,419.86",99.70%,,,,,,,
Solomon Islands,SLB,Oceania,561,1000,2013,2.12%,515,458,303,67.51,251.55,76.60%,,,,,,,
Somalia,SOM,Africa,10496,1000,2013,2.95%,9381,8250,6285,54.69,17.21,n.a.,,,,,,,
South Africa,ZAF,Africa,52982,1000,2013,1.35%,50223,47019,34491,56.1,982.29,93.73%,,,,,,,
South Korea,KOR,Asia,50220,1000,2013,0.43%,49182,48039,42449,81.37,"2,321.38",n.a.,,,,,,,
South Sudan,SSD,Africa,11296,1000,2013,4.23%,9521,7730,5775,54.64,n.a.,n.a.,,,,,,,
Spain,ESP,Europe,46647,1000,2013,-0.24%,46363,42922,38791,82.38,"3,144.92",97.89%,,,,,,,
Sri Lanka,LKA,Asia,20483,1000,2013,0.76%,20450,19435,16825,74.07,189.42,91.18%,,,,,,,
Sudan,SDN,Africa,37964,1000,2013,2.07%,34853,30779,19295,61.86,159.1,71.94%,,,,,,,
Suriname,SUR,South America,539,1000,2013,0.89%,520,493,400,70.81,520.61,94.68%,,,,,,,
Swaziland,SWZ,Africa,1250,1000,2013,1.51%,1174,1095,834,48.85,447.48,87.84%,,,,,,,
Sweden,SWE,Europe,9593,1000,2013,0.77%,9299,8994,8493,81.7,"4,157.77",n.a.,,,,,,,
Switzerland,CHE,Europe,8081,1000,2013,1.06%,7744,7390,6647,82.7,"6,062.10",n.a.,,,,,,,
Syria,SYR,Asia,22846,1000,2013,1.99%,21032,17676,12088,74.71,196.21,85.08%,,,,,,,
Tajikistan,TJK,Asia,8208,1000,2013,2.48%,7447,6664,5160,67.26,129.11,99.74%,,,,,,,
Tanzania,TZA,Africa,49253,1000,2013,3.08%,43640,37765,24686,60.85,108.68,67.80%,,,,,,,
Thailand,THA,Asia,67011,1000,2013,0.34%,66277,65087,55833,74.19,385.46,96.43%,,,,,,,
The Bahamas,BHS,South America,377,1000,2013,1.46%,354,322,252,74.91,"2,377.16",n.a.,,,,,,,
Timor-Leste,TLS,Oceania,1178,1000,2013,2.55%,1049,967,730,67.02,79.61,58.31%,,,,,,,
Togo,TGO,Africa,6817,1000,2013,2.62%,6144,5398,3685,56.15,74.69,60.41%,,,,,,,
Tonga,TON,Africa,105,1000,2013,0.36%,104,100,95,72.49,269.88,99.39%,,,,,,,
Trinidad and Tobago,TTO,North America,1341,1000,2013,0.28%,1323,1290,1214,69.82,"1,449.73",98.81%,,,,,,,
Tunisia,TUN,Africa,10886,1000,2013,1.01%,10440,9932,7959,75.1,686.4,79.65%,,,,,,,
Turkey,TUR,Asia,74933,1000,2013,1.26%,71241,66846,53066,74.86,"1,143.91",94.92%,,,,,,,
Turkmenistan,TKM,Asia,5240,1000,2013,1.30%,4979,4697,3571,65.31,209.37,99.63%,,,,,,,
Tuvalu,TUV,Oceania,10,1000,2013,0.16%,10,10,9,n.a.,432.91,n.a.,,,,,,,
UAE,N/A,Asia,9346,1000,2013,1.53%,7718,3659,1707,76.96,"1,355.37",90.03%,,,,,,,
Uganda,UGA,Africa,37579,1000,2013,3.39%,32864,27767,16923,58.65,107.78,73.21%,,,,,,,
UK,ARE,Europe,64097,1000,2013,0.63%,62276,59988,57077,81.5,"3,494.94",n.a.,,,,,,,
Ukraine,UKR,Europe,45490,1000,2013,-0.23%,46053,47452,51773,70.94,561.96,99.73%,,,,,,,
Uruguay,URY,South America,3407,1000,2013,0.35%,3360,3324,3089,76.91,"1,426.65",98.40%,,,,,,,
USA,USA,North America,316129,1000,2013,0.72%,306772,292805,246819,78.74,"8,895.12",n.a.,,,,,,,
Uzbekistan,UZB,Asia,30241,1000,2013,1.57%,27767,25864,20077,68.1,220.84,99.48%,,,,,,,
Vanuatu,VUT,Oceania,253,1000,2013,2.22%,231,204,143,71.41,167.33,83.36%,,,,,,,
Venezuela,VEN,South America,30405,1000,2013,1.50%,28583,26261,19256,74.49,628.46,95.51%,,,,,,,
Vietnam,VNM,Asia,89709,1000,2013,1.05%,86025,81438,64774,75.61,233.49,93.36%,,,,,,,
Yemen,YEM,Africa,24407,1000,2013,2.33%,22230,19613,11270,62.91,117.94,66.37%,,,,,,,
Zambia,ZMB,Africa,14539,1000,2013,3.29%,12825,11175,7647,57.02,111.99,71.21%,,,,,,,
Zimbabwe,ZWE,Africa,14150,1000,2013,3.10%,12889,12693,10167,58.05,55.96,83.58%,,,,,,,
